Year,Africa Eastern and Southern,Africa Western and Central,Australia,Austria,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,"Bahamas, The",Belize,Bermuda,Bolivia,Brazil,Botswana,Central African Republic,Canada,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Costa Rica,Caribbean small states,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Ecuador,Euro area,Spain,Finland,Fiji,France,Gabon,United Kingdom,Ghana,Greece,Guatemala,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Haiti,IBRD only,IDA & IBRD total,IDA total,IDA blend,IDA only,India,Ireland,Iceland,Italy,Jamaica,Japan,Kenya,St. Kitts and Nevis,"Korea, Rep.",Latin America & Caribbean (excluding high income),Latin America & Caribbean,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Luxembourg,Morocco,Madagascar,Mexico,Middle income,Malaysia,North America,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,OECD members,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Pre-demographic dividend,Puerto Rico,Portugal,Post-demographic dividend,Rwanda,South Asia,Sudan,Senegal,Singapore,Sierra Leone,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa,Suriname,Sweden,Eswatini,Seychelles,Chad,East Asia & Pacific (IDA & IBRD countries),Togo,Thailand,Latin America & the Caribbean (IDA & IBRD countries),South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Turkiye,Uganda,Upper middle income,Uruguay,United States,St. Vincent and the Grenadines,World,South Africa,Zambia,Zimbabwe
1970,44629891648.9704,23596163865.3182,41333606618.3371,15373005557.0257,242732571.185839,26706196046.7931,333627713.462036,458404268.71745,8992721809.39332,538423153.692615,53339893.2988773,186300000.0,1017003367.00337,42327664793.6934,96243298.1393833,189106529.188645,88192257632.3093,9144514527.22258,92602638697.4156,1455482795.26555,1151216992.76914,4877684910.17964,274960699.85855,7198360460.19887,984830157.65439,3695311705.18149,1485500000.0,4863526892.69565,127454919352.341,286772120540.821,408898138223.848,2862504169.99893,642618205440.966,40992995008.3195,11357516987.5425,219878482.173564,148456359985.827,323802475.480977,130682295637.119,2215028588.45646,13139863636.3636,1904000000.0,267799999.8661,2394458719134.3,3800766535.62088,722999999.6385,31962960653.614,331199999.73504,574979364132.601,657852694284.391,80115065650.1676,31424774715.2503,49639453168.5075,62422483000.5672,4395995085.99509,526704545.473604,113395315985.13,1404720442.16912,212609187707.426,1603447357.24209,16299999.99185,9005023183.92581,143400008471.565,175240043825.86,2296470588.23529,164717108993.536,616281204931.797,68739972.531507,346354817312.087,1457768455.02219,3956336240.94413,1111859569.77066,35519999964.48,594602858158.583,3864145664.81179,1161681557632.31,649916621.179857,12546094986.5804,778569938.824225,38164716625.0685,12814194863.3018,865975307.776,2404686247123.15,10027509449.811,1351006400.0,7432223176.93623,7559115517.55949,645568215.368383,43519848651.7864,5034700000.0,8108235704.32357,2342412592303.53,219900006.2199,85711844745.381,2100229759.04718,1297407654.80231,1920574148.88223,434410373.764149,67248358817.6012,67263493916.4895,274900000.0,38092378395.8186,112139955.188874,18432031.3616773,469266736.605101,127295734440.728,345134276.958922,7086538430.75416,163035462319.482,85711844745.381,67263493916.4895,821849999.589075,17345632697.8281,1259554807.64427,430722632315.814,2137096774.19355,1073303000000.0,18449999.990775,2997270495500.1,21218391521.1307,1825285714.28571,1884206300.0
1971,49173371528.9409,20936358634.3274,45216647240.0896,17858486066.7474,252842285.482514,29821661869.912,335073027.92408,482411179.672461,8751842839.79658,573400000.0,59074682.9503819,211100000.0,1095622895.6229,48869830901.7878,127448656.125605,201450800.056561,99605414680.042,10876408930.3583,99800597892.565,1584128511.27902,1236941395.528,5594770359.28144,322128019.323561,7820380970.53674,1077147482.51074,4017469942.97064,1666500000.13887,5077182745.7479,137030062986.255,310202914047.882,453726954329.135,2754220263.02528,728350687665.193,46619420359.2814,12527405512.9298,247749327.721267,165966615366.402,381687073.058558,148106601857.137,2417108577.52739,14591750000.0,1984800000.1654,282050000.0,2658213530866.94,4476001946.01486,730999999.664957,34354320283.6476,362799999.70976,627486667752.124,709722967090.346,80333811803.5792,29185227706.1047,52395188461.8994,67351407965.1281,5098250287.46646,670251136.449339,124672365792.759,1539862278.32699,240151811888.737,1778391289.20054,19624746.4503043,9903499927.98502,158746442517.717,195438627761.002,2369308600.33727,173885669458.291,663112078289.552,76480293.9524112,384985432823.906,1518773421.37846,4356669160.63397,1199507629.99222,39199999964.0668,639144217439.173,4244395358.10166,1264666514680.04,693573704.422866,9181769911.50443,828569953.4744,44579122807.0175,14583103533.0351,882765470.722173,2662824955390.38,10665896682.0664,1523917200.0,8289582883.67673,8375075197.08348,717750057.559415,42419967120.3491,5646800000.0,9201604240.28269,2597096522533.51,222952503.884321,91169238617.0067,2288340041.03486,1339549034.36862,2263785443.61688,419549425.077086,68555667236.6278,68574658267.439,301000000.0,41566370370.1516,136462096.704851,21965951.7533636,501866730.722503,136858919192.232,389382093.171242,7375000017.6326,181256770704.055,91169238617.0067,68574658267.439,896765145.619119,16311659192.368,1417191654.74969,467247859712.14,2807258064.51613,1164850000000.0,20051925.0349891,3310475491926.64,23411079377.3158,1687000000.0,2178716300.0
1972,53123459911.6505,25386169423.2783,52042056074.7664,22059612476.9332,246804571.428571,37209418018.5134,410331856.237969,578595520.928003,6288245866.66667,590900000.0,65998075.7259362,235400000.0,1257615644.97932,58434858374.8696,164460827.506605,230317882.941633,113463848873.624,11833776659.2272,113689285303.377,1849400398.25228,1498251886.91252,6173712814.37126,410669262.897929,8671358732.68486,1238251695.7405,4639346339.9348,1987400000.0,6766744027.55197,155408666772.339,339147957048.174,563010907247.164,3185987234.84089,879866451210.211,59132415221.3306,14743186119.8738,316656759.381132,203494148244.473,430508357.723916,169969084028.49,2112293279.98507,16885511363.6364,2101300000.0,285380952.380952,3083424652587.82,5710090550.62573,802996251.606543,37368293666.8581,371998971.855067,706116891008.86,791160280563.651,83918830280.8608,32770575917.4607,52164084218.7528,71463193831.0092,6318060582.21873,839648790.669075,145260039840.637,1875146587.4443,318031297493.401,2107279157.38336,22944849.1155047,10862327878.032,180600747008.558,219799370310.714,2553936348.40871,188492876223.361,742014297845.548,80913175.462898,442281525192.435,1901697369.62698,5074117544.77482,1341590681.586,45199916695.0352,715919582279.354,5043347485.91194,1392809248873.62,742779659.455166,12274416017.7976,878570045.450998,54706557264.4878,17358481291.4162,1024098397.79931,3088752725507.64,9415016359.56604,1673411700.0,9189413409.28138,9067815975.40698,858761953.084019,49357021176.5514,6328900000.0,11239117865.0852,3012720085617.16,246457838.604265,91653327298.4656,2483055722.23738,1620857100.5595,2721440980.75851,465381264.33209,77082698723.1833,77110721964.5527,311950000.0,48953974498.0218,146736433.958439,30645121.0127585,585427545.723598,155214569008.126,456159541.705593,8177872957.58962,203566728912.764,91653327298.4656,77110721964.5526,1083391921.22162,20431095406.3604,1490970267.23326,531816361499.834,2189418688.80408,1279110000000.0,27585802.7191194,3816822738898.91,24515911652.3115,1872416680.07912,2677729400.0
1973,69482723443.6538,31975594564.7119,63832158872.5176,29515467706.796,304339839.552146,47743801490.3747,504376074.065261,674773569.716408,8086725729.3407,670900000.0,78214778.3120372,269500000.0,1262968515.74213,83592275862.9982,244124115.653176,271183081.978302,131765642644.972,16826412445.3394,138543203562.724,2508421425.57669,1901393360.56876,7870239461.07784,541973362.480998,10315760000.3394,1528925769.80943,5076128906.85033,2344800000.1954,8707858006.19387,195534127614.961,433956554432.369,741889900791.102,3891755551.94138,1142236798783.01,78639525985.1513,19472363466.6252,425950581.259458,264429876252.21,722780701.123251,192551676950.861,3006766758.43977,22347848101.2658,2569200100.2141,307047619.047619,3730782775772.69,8030117555.62033,912499599.456691,46136646050.3917,466798975.004938,914768346940.197,1011675036369.35,97248051627.3532,34960184147.1978,63843359722.7925,85515269585.4,7481173065.79201,1154386886.40258,175492055795.417,1905917553.19149,432082723461.096,2509001444.1602,24196018.3767228,13876531432.0145,241708939206.433,292374754566.073,2875625000.0,229847388939.662,946087039548.574,121188698.642069,570027356655.589,2609875802.11136,6242146134.92684,1653062347.36378,55280212668.4124,914833294251.138,7662903760.34323,1557411142644.97,946385104.967731,15162871287.1287,1092900014.79168,71840909664.1968,22534123432.1493,972101724.995368,3731756890937.93,6383429490.21091,1913793400.0,10994381895.1161,11412449173.9412,1299079580.23649,60920765155.4204,7002400000.0,15090564186.4268,3637412282740.69,290746157.492369,104781402787.846,3077254460.30228,1863398590.01061,3696213333.33333,575230445.780241,99480296893.0421,99513486866.7772,339450000.0,59404966684.2214,221915096.205453,36896278.223337,647199482.827982,195289915128.067,552374366.444597,10838587357.7466,273148758074.26,104781402787.846,99513486866.7772,1308785739.53437,25724381625.4417,1701817876.60586,694386737370.909,3964296443.35254,1425376000000.0,30165077.4525954,4657445187869.57,33262767309.8083,2434255236.99935,3309353600.0
1974,85380645042.2438,44416677334.5674,88963890935.888,35189299911.6608,345263492.063492,56033077879.0389,554654861.53714,751133431.579496,12512460519.7088,632400000.0,103160463.464838,312600000.0,2100249875.06247,109794519727.538,306044205.922122,281398705.994003,160946304010.365,16209686087.6269,144188964286.502,3070152313.83854,2157415535.79412,9596960179.64072,585364635.354748,12370029583.6419,1666544754.30852,6595536763.87412,2925700001.46285,13209871629.0641,221206099178.334,606060392680.644,854713010143.849,6599259420.99605,1295369935840.44,97274006345.5437,24848821490.4679,558587216.568266,285552373158.756,1544216003.9841,206152361030.543,2894409937.8882,25351306818.1818,3161499901.58075,433954545.454545,4206610118501.21,9388694744.86163,1034499999.78562,54947655240.149,565399296.718132,1152536835908.17,1282877331903.41,129652908582.847,50396527690.3867,80855093444.0352,99525899116.054,7896860614.98803,1515165330.16135,199564489431.378,2375122375.12238,479625998614.637,2969958812.43227,31514856.3078422,19544094741.2663,317535791822.913,379037627171.514,3574586466.16541,301181598425.34,1199867355110.25,150851315.734636,670590593319.999,3183637116.81856,7675467036.60961,1917508190.04689,72000179025.5041,1161069117578.99,9496205619.75383,1706501904010.36,1026137112.43707,24846641318.1242,1521400011.53463,87243413394.5405,27145652980.0117,1217953546.97604,4181384546714.57,8899191919.19192,2188307600.0,13858441211.4692,15607882556.6329,1467417948.86332,86057756449.2173,7684800000.0,17512391475.9274,4062269107213.95,308458423.183854,126934580819.779,3958931659.84759,2099325232.11526,5221534955.64418,648590794.575274,127850076182.423,127887926562.716,409850000.0,66012967234.7236,264320939.570152,43134498.6932177,652532796.06664,220929823664.411,761591056.261654,13702998648.216,357287703638.824,126934580819.779,127887926562.716,2042001159.23119,35599700823.3766,2098944967.50769,868560009321.687,4090209681.97172,1545243000000.0,32923696.1775823,5366817636381.24,41389185877.1235,2910981262.10018,3982161400.0
1975,90835426418.4757,51667190241.5496,97304383449.406,40059206763.056,420986666.666667,65678189097.2908,676870139.263848,939972701.96644,19448348073.4565,596200000.0,118194045.559385,345000000.0,2404697651.17441,129203555238.827,355168715.375176,378660015.663052,174426742591.498,7621570579.55027,163429496442.805,3893839184.06847,2857037366.51002,10237343173.6527,767102679.018622,13098633901.8673,1960863465.8064,7706927757.58836,3599200003.5992,15557901444.8724,248600838593.222,651462397679.963,935819191485.15,7731677256.80982,1501998691902.07,114777046376.812,29472623242.2822,684282380.893548,360832186018.051,2157592936.60712,241734621312.295,2810106382.97872,28525876726.8863,3645900003.6459,494791666.666667,4693794271015.32,10048090236.906,1124000000.0,62791627878.7333,681400000.13628,1244887902983.41,1402503928502.24,154660739085.545,57971333194.1547,98887800680.2148,98472796456.884,9483808362.36934,1406875081.32726,227695851126.928,2860442750.44275,521541905674.715,3259344935.75357,33364055.2995392,21784297520.6612,342490337010.103,397575551770.334,3791298145.50642,332573013999.115,1328202014396.51,149558945.403731,737575791537.233,3123333333.33333,8984851898.73747,2283049233.28581,88000000000.0,1282604977967.13,9298800799.46702,1859675742591.5,1048690931.5406,27778934624.6973,1581599958.5989,100249523353.085,32877543120.2524,1575789254.46938,4686670470383.03,11230606060.6061,2435304100.0,16931162355.4802,16875240685.8366,1356603017.90381,98342389193.6961,8198300000.0,19347607843.1373,4551619425380.46,571863503.008491,135867507778.861,4823090191.91008,2830388400.39129,5633673929.99302,679336126.555369,140842882957.693,140884899647.398,465500000.0,82885563989.1909,288299883.906649,47803145.9560303,864602103.303074,248290348400.143,838891749.347669,14882770239.3149,373551821303.122,135867507778.861,140884899647.398,2442670280.27168,44633449700.5686,2359555555.55556,959658335595.186,3538278046.96236,1684904000000.0,33237228.556406,5977972780215.24,42906919870.3469,2442672140.947,4371300700.0
1976,90212747243.3221,62351622299.6098,105060650224.271,42959976221.5234,448412753.623188,71113882967.6071,698408261.141673,976547186.963356,10117113333.3333,642100000.0,97094221.4859929,386300000.0,2731984007.996,153168949208.207,372025093.434102,451152460.808537,207265662814.815,10338624283.4344,153939238114.518,4662053819.62908,2898089998.6172,9648583224.99212,754549600.548182,15341403660.4698,2412555426.18583,7932366003.34723,3951500003.9515,17728240936.5735,252627347577.803,711513664102.468,1028846516914.69,9091924304.83477,1567495790394.23,118507184779.905,31849513771.3494,694540494.57274,372319038514.067,3009409970.90514,232610445456.538,2765254237.28814,31152835820.8955,4365300204.3653,454440000.0,5114713213062.7,12876366008.8077,1347999950.0,66675385980.0505,879000000.1758,1348869508762.09,1511505065576.25,160505749714.264,69959421026.5182,91502332691.8594,102717164466.397,9453756014.71837,1669473116.28758,224717278436.846,2966042856.04286,586161859001.318,3474542392.04597,30095602.2944551,29902479338.843,372929451128.761,436013451488.332,3591319857.31272,366594522953.831,1426391221074.46,147659999.8716,795110050384.083,3423586206.89655,9584296202.0867,2181844193.92388,88876787990.9128,1378256736089.2,11050234602.248,2081063962814.82,1064517600.10051,36308883248.731,1836899998.94579,109168720620.103,35942160908.9942,1452788944.45628,5082767159669.08,13168080808.0808,2588106000.0,16131958850.6444,19381054331.5877,1511842283.9237,115511133085.004,8968600000.0,20332831564.9867,4939133669039.49,637753856.053117,132608444905.698,6013210815.66115,2869777881.2443,6327077974.10703,594895244.67471,151949762433.19,151992519730.34,505500000.0,89362242653.5773,272549999.763,49278979.547035,866044961.048354,252311828473.482,841682268.53457,16985208712.1054,410203988414.582,132608444905.698,151992519730.34,2500424512.07402,51279868356.6261,2447300000.0,1018860419509.77,3667161241.48372,1873412000000.0,32792846.7795264,6498746015379.65,41150449964.217,2742859262.9794,4318372000.0
1977,102240575582.945,65595122955.5949,110350997935.306,51545758887.6863,547535555.555556,82839905458.6382,750049780.163916,1131224880.18434,9651149301.8746,713000000.0,117650000.0,447000000.0,3227436281.85907,176344101401.941,451624959.61005,507298148.421506,212325176304.654,13965594906.1642,174935897086.309,6265068200.43055,3394664030.04384,12344424763.5727,765224030.636552,19470960619.1297,3072427013.19398,9210519153.47886,4587100004.5871,20972112004.1893,291576300239.869,794834487670.36,1225988932220.26,11026346589.5011,1782978319993.57,132449277108.434,33499799321.2336,719501505.150927,410279486493.715,2809349074.17738,263079306617.242,3189428571.42857,36176234967.6226,5480500205.4805,449880000.0,5792021836211.46,15719433719.7147,1669499950.0,78348289023.1636,947000000.1894,1527707387232.1,1704528242516.28,175375816534.453,73756383699.6396,103027185366.833,121486645611.522,11248340431.3779,2208509076.639,257596313364.055,3249733139.73314,721411786538.606,4494378855.32203,44496296.2962963,38446487603.3058,404811983096.716,478835118003.803,4104509582.86359,418185902076.755,1602568048403.58,193314999.8319,922284640069.316,3789321328.08104,11049784283.2153,2358930406.42896,81912502624.4674,1545854791100.53,13139486857.958,2294598176304.65,1291458043.7403,36035407725.3219,2226999873.71856,127016990212.804,41508030438.9045,1382400000.0,5734505486703.22,15126060606.0606,2738261900.0,14544913960.5062,22283109806.3622,1640745929.69168,127667415881.697,9910900000.0,21439523310.6338,5583957272913.27,746650611.312185,153553587500.209,7499005639.37649,2938046467.89305,6618585073.66035,691779749.562297,166682438981.627,166741023605.751,641500000.0,94467862578.884,304059999.7356,64526398.6582547,935360466.351488,291212135813.591,1056473299.68755,19779312335.7205,451343454783.016,153553587500.209,166741023605.751,3138666667.97444,58675998836.7385,2936470588.23529,1133358764185.83,4114670014.3472,2081826000000.0,49353161.8518519,7349730997168.28,45328399960.584,2515296939.60686,4364382100.0
1978,116084638702.251,71496496574.3279,118491577918.812,62052259073.2493,610225555.555556,101246526194.441,928843468.468714,1475583643.40628,13281767142.8571,832400000.0,136300000.0,475800000.0,3758220889.55522,200278646123.581,590407375.160033,610578631.359943,219377394594.975,15992038366.8097,149540752829.268,7900526290.12877,4662852578.29818,15372608002.3923,878771771.29105,23263511958.0509,3523208810.21274,9433730362.32331,4734400004.7344,26364491320.0949,282751871491.915,914896533738.626,1546792686267.23,11922502170.6405,2183343936515.71,160599687500.0,36256160288.8087,829268135.241171,506707848837.209,2389479269.18878,335880078399.848,3662478184.99127,44270204081.6327,6070600206.0706,507080000.0,6940227758015.97,18315137712.9442,3097242093.2,92606200588.4922,974200000.19484,1691716799777.71,1892704345565.3,198704575513.165,80183338760.4293,120580878439.347,137300295313.3,14647996073.6937,2511818475.62766,315058323066.393,2644527198.25543,1013612334075.2,5303734882.5116,49433333.3333333,51972107438.0165,491322209511.273,574135939798.515,2733183856.50224,460594088379.217,1781918482843.55,266569999.7682,959681796280.206,4718539771.99949,13236946766.2301,2669755115.50372,102647292867.001,1715904581161.54,16358082222.8997,2571452194594.98,1774365587.86851,36527862208.7133,2127699978.78077,155859695457.323,46522900253.7054,1604162497.45945,6889276867199.64,17811515151.5152,3244558600.0,12491876742.9708,25762223399.6909,1947878833.37148,144095273016.335,11165000000.0,23487614051.0949,6709404010331.98,905709080.930258,174721808669.433,8128719315.0792,3280354917.45057,7517176354.84135,960725310.978066,185998188491.492,186078689801.537,735500000.0,104442929108.702,340629999.7038,85552369.9145942,1113920122.61233,282398728342.159,1120110135.75725,24006567108.4563,541143245103.217,174721808669.433,186078689801.537,3562333459.81764,65146575335.7462,2420260869.56522,1262847704203.51,4910254565.57831,2351599000000.0,60844771.4814815,8690496944982.18,51607399955.124,2811032472.93922,4351600500.0
1979,134256827127.362,88948338390.3936,134898330114.734,73937296963.4586,782496666.666667,116315456796.918,1186231018.35731,1748480618.36735,15565480321.9448,1139800100.0,151800000.0,517200000.0,4421336382.94397,221338204480.222,819870595.111537,700764746.892119,243886024251.834,21806136150.3524,178280594413.043,9142933955.51749,5919002975.30133,15068422236.3663,1198749665.95066,27940411250.2732,4035519323.69143,10835454135.4305,5498800005.4988,33243709744.0899,327551775854.461,1072741942109.17,1679992908986.78,14175166007.5774,2644833842318.66,214601955875.062,44465255686.1548,1019691156.36853,613953129818.07,3030251116.35999,439011580877.703,4020227920.22792,54481876724.931,6902600206.9026,530440000.0,8024291970995.51,22526186035.2408,3544281976.3,102275368434.508,1080600000.21612,1970758429473.45,2204254696266.55,230921468554.142,98426900974.4665,134168317754.708,152991653793.77,18319334300.4513,2853435054.34442,393677161500.816,2425063771.90905,1055012119529.54,6234390975.29871,58840740.7407407,66946900826.4463,540434106785.603,644210824206.374,3364611432.24149,538549797506.089,2063662372115.59,290134729.683747,1141426067178.44,5516982663.73143,15911994141.2408,3463565881.42215,134529639571.996,1992288749673.43,21213268200.3906,2871736224251.83,2109277663.09748,47259911894.2731,1567599981.69806,179669405690.432,53132594368.1229,1851250008.33333,7957663433300.56,19688383838.3838,3704551600.0,15954012439.1662,31218296296.361,2293758902.84789,180666779617.846,12750000000.0,26622819672.1311,7714121027274.36,1109346136.6514,195693075714.576,8418407786.60599,4084877817.87838,9296921723.83465,1109372098.13879,221888413697.262,222012586577.63,782500000.0,123386889872.303,412093133.760988,127261099.24396,1004316495.11175,327142679832.485,1211853289.7222,27371650353.0589,607151446385.038,195693075714.576,222012586577.63,4602416626.91767,89392647416.6002,2139025000.0,1461209943939.29,7181182224.11227,2627333000000.0,71096359.6296296,10053770929850.0,63038687890.3532,3353445378.15126,5177459400.0
1980,171217790780.757,112439126385.111,149984401114.206,82058912997.2346,919726666.666667,126829314388.191,1405251843.78221,1928719884.42114,18138049095.6072,1335300000.0,197938222.43,613299968.0,4537487802.50257,237393489892.637,1060889705.11871,797048196.970408,274770252171.762,29036709871.7949,191149211575.0,10175617589.1232,6674569033.58218,14394927494.8647,1705796849.54655,33400735644.0481,4831447001.68365,13495237652.2025,6761300006.7613,42345829090.2411,378033865488.365,1334955732224.65,1815967653285.01,17881514682.8784,2962181083319.03,232766822928.754,53645202422.6968,1202619307.76466,701288419745.421,4279637933.85126,564954276868.089,4445228215.76763,56829664268.5851,7878700007.8787,603200000.0,8962568770036.12,28861855877.2797,3968160046.0,111360591670.023,1383800000.27676,2333234306398.29,2612608601648.55,275938398374.97,126262885823.116,150499207820.672,186325345086.661,21747855640.0712,3381389884.80718,477256775943.929,2679379373.01668,1105385811262.73,7265315331.62273,68459259.2592593,65398646757.6511,652900348679.671,783195794768.864,4024621899.57653,643335562350.073,2431398652800.56,431542682.236012,1305127873819.61,6019805490.41247,21728517078.5354,5201818348.92727,205576980831.514,2353291017161.02,24488220937.7845,3132690552139.76,2508524715.79516,64201788122.6054,2144300006.18028,195152092662.381,64439056747.6556,1945916583.33333,8844458238434.9,23654444444.4444,4614086400.0,18136838537.725,36848079268.5171,2545809091.71129,223624560625.926,14436100000.0,32896519823.7885,8542238350835.81,1254765643.15406,235962137572.7,8951800017.9036,4510108281.84315,11896256782.8566,1100688361.26126,281896939235.685,282049229145.848,795000000.0,142092908186.305,541977035.402091,156783829.564809,1033002401.82543,377561719824.859,1544290809.92666,32353514502.0,742956710455.854,235962137572.7,282049229145.848,6235833335.9316,68789214177.1204,1244610000.0,1716330585868.34,10163020115.7344,2857307000000.0,82340339.6296296,11337132638434.1,89411894563.7285,3884530853.76162,6678868200.0
1981,175859256874.359,211338060014.605,176891907581.563,71034228443.062,969046666.666667,104730018470.23,1291120190.56764,1775842336.50916,20249694002.448,1426500000.0,196089854.655,739100032.0,5891606684.8883,258015174748.648,1073812403.80662,694803624.048757,307245842970.167,34509878043.5897,195866382432.54,8432589956.34896,6610938627.60437,12537821038.2202,1993512325.92286,36388366869.0309,2623803055.69857,14890283926.4085,7561300007.5613,44348587045.922,403550370494.575,1491022453297.72,2001890806303.95,21810767209.3695,2574375219647.74,202807891511.984,52448332874.07,1235627374.37545,615552202776.101,3862269126.92642,540720761152.05,4222441614.97432,52346506765.0676,8607500308.6075,570357107.142857,9098573566488.12,31055224236.6412,4043894878.6,109356958746.012,1479400000.29588,2516418067586.11,2938958646106.94,403363550594.805,243040674356.806,154584364197.739,193491373249.4,20670190138.1671,3493005069.10719,430702851303.015,2979027968.12601,1218988750886.49,6854491453.91471,80888888.8888889,72933350953.7025,746794081743.704,894234459001.925,4415844155.84416,776012683487.32,2730636435848.51,434188034.188034,1369362066137.77,5053665797.47936,17788186055.571,4759333969.83276,263802132208.636,2649954735161.45,25004285800.8297,3515025943002.17,2170893417.98129,164475209515.939,2474700227.04662,164134217080.279,63596562434.4008,2275583316.66667,9003003819108.52,28100606060.6061,5222421500.0,21648214892.8828,40499388873.8266,2498188995.00821,311221167301.962,15955700000.0,31977276872.9642,8638861952250.65,1407062526.28631,250140235557.805,10753888154.2798,4095892787.36096,14175228843.6391,1114831914.63021,389734246636.871,389887980091.441,889000000.0,129685871065.238,570774862.060517,163750728.237271,876937559.724951,403046355974.106,1307754354.70263,34846038517.9287,851543041538.727,250140235557.805,389887980091.441,6992083336.2467,71040286283.5183,1337300000.0,1864136131757.01,11048301420.6301,3207041000000.0,102086539.259259,11728414403391.6,93141478239.0989,4008126497.36464,8011373800.0
1982,168095657215.23,187448724919.927,194037294494.097,71275287569.5733,1013222222.22222,92095926187.5331,1267778671.52033,1754450097.84433,18525399201.5968,1578300000.0,182206326.985,785500032.0,5594121317.37407,271314113768.417,1014945860.82549,748312391.442075,314638903648.759,25326722339.4991,205089699858.779,7567110855.85391,6611255969.89189,13651667371.1676,2160640566.5396,38968039721.748,2606623577.8575,16517790345.7868,8267400008.2674,45207170761.6458,423685722452.221,1418937141151.78,1962329472988.37,19929853574.6095,2492495326231.07,195996754505.528,52797582336.2526,1194060371.35992,584877732308.614,3618007844.44919,515006780277.424,4035994397.7591,54617989795.9184,8716999708.717,482000000.160667,9014070180686.39,32291217616.936,4266503525.6,107882949059.385,1474200000.29484,2491063028144.27,2886738091442.27,379740257647.272,222134599186.924,152771439194.23,200715633588.789,21474752962.2178,3206617990.90023,427272645669.291,3293496313.77974,1134518153718.18,6431579357.30273,86022222.2222222,78358866334.7376,688972840488.123,829114297208.293,4768765016.81884,796818086583.595,2691172713846.34,348741737.284042,1392844983995.26,4602316793.21914,17692275268.3876,4784977348.93187,184603593511.161,2609362555753.73,26804497470.7328,3659213403680.76,2017612217.82752,142769363314.176,2454499872.03789,158479527935.958,62646871991.5681,2395423680.22852,8868580154612.23,30725971563.981,5769767900.0,21794535621.216,42206011278.0585,2368718617.43775,290607941422.123,16764200000.0,30527754793.1382,8601100602982.9,1407243132.61664,258792952697.994,8732542273.73424,4013951446.34767,16084252378.473,1295361467.61023,357608755228.595,357757127665.331,915000000.0,114380406033.224,537568142.050848,157211797.726919,834369860.427317,423156559869.692,1116560700.7589,36589772336.849,784904152926.701,258792952697.994,357757127665.331,8140416670.05851,64546167132.1244,2177500000.0,1791984785032.27,9178780076.99713,3343789000000.0,113759203.333333,11610171959211.8,85904070614.9305,3871117092.86676,8539700700.0
1983,175564912386.053,138384182006.548,177263464407.833,72121016546.6524,1082926304.46477,87184239053.2544,1095348199.36832,1600278605.15123,17609048821.5488,1732800000.0,192103185.955,889400000.0,5422656265.83789,189656506321.431,1172230575.57996,658679332.638761,341862996303.066,20356389841.5586,230686747153.257,6838184772.07869,6870200009.45663,11006712650.4481,2097274289.61512,38729822781.5997,3146772656.3741,16735543669.6243,9220600009.2206,48801369810.5583,443837445351.947,1429300176950.81,2087904294838.24,17152483214.3536,2431611024346.65,170951185614.849,50973526900.0854,1123084823.07278,559869179791.72,3391275731.31834,489599764279.816,4057275042.82903,49428873839.0093,9050000409.05,489333333.496444,9307274823050.03,29907228556.6964,4476697184.85,103238056408.208,1623600000.32472,2452321862781.73,2779448084203.33,319870919535.744,168564486625.026,148794901041.193,218262154670.612,20766047763.5314,2765954047.08824,443042373788.883,3619261342.79358,1243323766554.87,5979198463.82274,86874074.0740741,87760360941.0248,595353311198.79,726344898907.75,5167913302.16745,796475352892.602,2600394883336.1,386699308.945943,1279910481204.36,4524217751.47929,16251407368.0967,4686457013.0813,156167542258.06,2520772212451.61,30347442121.8264,3976790396303.07,1803099561.08393,97094911792.0489,2753100057.78802,153445465987.182,61627522382.596,2447174803.54051,9158864455518.78,28691889763.7795,5923755900.0,17345260564.4824,37759181029.9732,2562352064.85594,232587271032.748,17276600000.0,27239650741.9472,8926201078130.69,1479687583.13507,273951368607.722,8230153846.15385,3569356124.7009,17784112149.5327,995104199.784208,314695230286.82,314844448352.916,883500000.0,105014242541.029,555336145.8925,156098244.669095,832415805.956265,443283114260.859,1040589483.74195,40042798315.2734,680609173310.114,273951368607.722,314844448352.916,7763750003.2349,61678257318.3004,2240333333.33333,1695520751625.61,5102276308.45313,3634038000000.0,122255349.62963,11840481044980.5,96204110963.155,3321048451.15171,7764067000.0
