city_name,city_latitude,city_longitude
Avondale, 44.015850, -85.226710
Avonwood Village Mobile Home Park, 42.312500, -85.144170
Axin, 44.210010, -85.547560
Ayr, 45.492230, -84.853380
Azalia, 42.018930, -83.665770
Babbits Resort, 44.667520, -84.612800
Babcock, 42.217260, -84.799970
Bach, 43.683070, -83.355790
Backus Beach, 44.760010, -83.546090
Bacon Island, 46.056690, -83.827510
Bad Axe, 43.801960, -83.000780
Bagley, 45.551360, -87.575680
Bagnall, 44.427230, -85.758680
Baie de Wasai, 46.461410, -84.244760
Bailey, 43.277800, -85.810320
Bailey Island, 48.154040, -88.480350
Bainbridge Center, 42.115600, -86.281690
Baker Village Mobile Home Park, 42.299170, -85.166670
Bakersville, 42.490030, -86.069750
Bakertown, 41.805050, -86.390850
Bald Island, 46.049470, -83.738060
Baldwin, 43.901120, -85.851730
Balitmore, 46.534670, -89.229030
Ballards Corners, 43.116970, -85.710040
Balsam, 46.207730, -88.380970
Baltic, 47.067430, -88.633460
Banat, 45.517750, -87.697620
Bancroft, 42.878640, -84.063850
Banfield, 42.463650, -85.288610
Bangor, 42.312540, -86.113080
Bankers, 41.897830, -84.691350
Bannister, 43.132530, -84.421650
Bar Lake, 44.297500, -86.307030
Baraga, 46.778540, -88.489020
Barbeau, 46.288630, -84.281150
Bark River, 45.710250, -87.304850
Barker Creek, 44.780280, -85.313400
Barnard, 45.251120, -85.301180
Barnes Lake-Millers Lake, 43.179560, -83.312300
Barnum Island, 47.877670, -89.233700
Baroda, 41.957540, -86.485570
Baroda Estates, 41.960000, -86.487500
Barry's Resort and Mobile Home Park, 42.612780, -85.210280
Barryton, 43.752530, -85.146980
Barton City, 44.684180, -83.605530
Barton Hills, 42.321980, -83.768830
Bass Reef Island, 46.104460, -83.997230
Bassett Island, 44.872500, -85.570630
Basswood, 46.188560, -88.845130
Bat Island, 48.146260, -88.464790
Batavia, 41.912550, -85.098030
Batavia Center, 41.940600, -85.118300
Batcheller, 44.004170, -86.130910
Batchelors Island, 41.851160, -86.365290
Bates, 44.772780, -85.444240
Bates Junction, 46.086340, -88.602080
Bates Location, 46.113010, -88.616240
Bath, 42.818640, -84.448590
Battle Creek, 42.317300, -85.178160
Battleship Island, 48.174590, -88.498400
Bauer, 42.921410, -85.902260
Baxter, 44.503890, -85.527010
Bay City, 43.594470, -83.888860
Bay Harbor, 45.364130, -85.082080
Bay Island, 46.044740, -83.706390
Bay Mills, 46.437240, -84.583940
Bay Park, 43.654740, -83.589130
Bay Port, 43.849460, -83.373290
Bay Shore, 45.358340, -85.097280
Bay Shore Estates, 45.356940, -85.092220
Bay Side Village Mobile Home Park, 43.561390, -83.893330
Bay View, 45.385570, -84.930330
Bay Village Mobile Home Estates, 43.616670, -83.827220
Bayport Park, 42.854190, -83.717730
Bayside Estates Mobile Home Park, 43.758330, -83.427780
Bayside Mobile Estates, 45.129720, -87.610560
Beach Grove, 45.299420, -87.437610
Beachmont, 42.646410, -86.223650
Beacon, 46.510210, -87.985690
Beacon Hill, 47.139090, -88.806790
Beadle Lake, 42.267260, -85.149430
Beal City, 43.669200, -84.908630
Bear Island, 45.319740, -83.550820
Bear Island, 45.972240, -84.235580
Bear Lake, 44.420830, -86.148140
Bear Town, 46.808820, -88.509850
Beaton, 46.295780, -89.339310
Beaver, 45.985520, -87.109860
Beaver, 43.711690, -84.067760
Beaver Archipelago, 45.399720, -85.828410
Beaver Grove, 46.481050, -87.315700
Beaver Island, 47.907670, -89.170090
Beaver Island, 45.664720, -85.557310
Beaverdam, 42.848360, -85.960040
Beaverton, 43.882250, -84.484730
Bedford, 42.395320, -85.232220
Bedford Hills Mobile Village, 42.360560, -85.227780
Bedore, 42.557810, -82.612960
Beebe, 43.335310, -84.548050
Beech, 42.377810, -83.295490
Beech Grove Trailer Park, 42.037500, -85.825000
Beecher, 43.090030, -83.694400
Beechwood, 42.005000, -86.209720
Beechwood, 46.159680, -88.773470
Beechwood, 42.796970, -86.125880
Bel-Air Mobile Home Park, 43.375280, -83.891670
Belding, 43.097810, -85.228910
Belknap, 45.331960, -83.843330
Bell, 45.249740, -83.432760
Bell Landing, 45.489460, -84.074180
Bell Oak, 42.728650, -84.173580
Bellaire, 44.980280, -85.211170
Belle Isle, 42.340040, -82.980470
Belle Isle, 48.152370, -88.589510
Belle River, 42.823640, -82.700200
Belleville, 42.204760, -83.485210
Belleville North, 42.222820, -83.481880
Bellevue, 42.443370, -85.018050
Bellevue Island, 42.782530, -83.252720
Bellevue Island, 45.961690, -83.865560
Bellevue Mobile Home Park, 42.419440, -85.006110
Bellow Island, 45.100000, -85.567580
Belmont, 43.075580, -85.609200
Belsay, 43.026420, -83.595790
Bendon, 44.633060, -85.837860
Bennington, 42.935310, -84.241910
Benson, 44.208620, -85.497000
Benson Park, 44.203630, -83.554420
Bentheim, 42.709470, -85.918920
Bentley, 43.948080, -84.134440
Bentleys Corners, 42.102270, -84.866640
Benton, 42.128930, -83.862160
Benton Center, 42.123930, -86.378630
Benton Harbor, 42.116710, -86.454190
Benton Heights, 42.131150, -86.407240
Benzonia, 44.621390, -86.099260
Bergland, 46.592450, -89.573210
Berkley, 42.503090, -83.183540
Berlamont, 42.390030, -85.993910
Berlin Center, 42.900590, -85.134170
Berne, 43.844740, -83.269400
Berrien Center, 41.956710, -86.276680
Berrien Springs, 41.946430, -86.338900
Berry Junction, 43.296400, -86.261170
Berryville, 42.405310, -84.487190
Bertrand, 41.774490, -86.262230
Berville, 42.908360, -82.882980
Bessemer, 46.481340, -90.052950
Bete Grise, 47.388800, -87.955110
Bethany Beach, 41.891430, -86.618080
Bethel, 41.832830, -85.073580
Betsy, 47.296580, -88.059550
Betty B Landing, 46.400560, -85.277880
Betzer, 41.753110, -84.475780
Beulah, 44.631940, -86.090920
Beverly Hills, 42.523920, -83.223260
Beverly Hills, 46.513550, -87.606800
Big Bay, 46.815760, -87.728460
Big Beaver, 42.562810, -83.124090
Big Bend, 43.523640, -85.582820
Big Cut, 45.327230, -83.999730
Big Prairie, 43.518630, -85.642550
Big Rapids, 43.698080, -85.483660
Big Rapids Mobile Home Court, 43.708330, -85.472220
Big Saint Martin Island, 45.968350, -84.628100
Big Trout Island, 46.055850, -83.853340
Bigelow, 44.978340, -84.276120
Biggs Settlement, 44.710290, -84.130010
Billings, 43.849750, -84.347220
Bingham, 44.875830, -85.674250
Bingham Farms, 42.515870, -83.273260
Birch, 46.698540, -87.578190
Birch Beach, 43.201970, -82.512420
Birch Creek, 45.202760, -87.611220
Birch Crest Estates, 41.812220, -86.225000
Birch Grove Mobile Home Park, 47.126940, -88.594440
Birch Island, 45.975020, -84.438650
Birch Island, 44.257780, -85.890630
Birch Island, 48.110830, -88.684720
Birch Isle, 48.049050, -88.690910
Birch Run, 43.250860, -83.794130
Birch Run Mobile Home Park, 43.268610, -83.785280
Birchgrove Mobile Home Community, 46.528330, -87.404720
Birchwood, 41.881430, -86.628630
Birchwood, 45.538620, -84.537540
Birchwood Beach, 44.872510, -84.321960
Birchwood Estates Mobile Home Park, 42.127780, -85.225000
Birchwood Farms Mobile Home Park, 43.240560, -83.794440
Birchwood Mobile Home Park, 43.073330, -83.760560
Birchwood Shores, 44.083910, -83.589980
Bird Island, 44.889460, -83.324140
