"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-20","2.1",",,W",,,"4.1",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","23.8","H,,S","30.0",",,W","18.9",",,W","  250",",,W","  270",",,W","7.2",",,W","12.5",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-21","3.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","22.8","H,,S","28.3",",,W","18.9",",,W","  260",",,W","  250",",,W","10.3",",,W","13.0",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-22","2.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","21.8","H,,S","25.6",",,W","12.2",",,W","  350",",,W","  350",",,W","6.3",",,W","7.6",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-23","2.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.0","H,,S","23.9",",,W","8.9",",,W","   50",",,W","   30",",,W","6.7",",,W","8.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-24","2.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","16.6","H,,S","23.9",",,W","8.3",",,W","   60",",,W","   70",",,W","6.7",",,W","8.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-25","3.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.8","H,,S","25.6",",,W","11.1",",,W","  110",",,W","  110",",,W","8.1",",,W","11.6",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-26","6.0",",,W",,,"7.6",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","18.8","H,,S","24.4",",,W","15.6",",,W","  130",",,W","  140",",,W","10.3",",,W","14.8",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-27","4.7",",,W",,,"7.1",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","21.9","H,,S","27.2",",,W","17.8",",,W","  250",",,W","  230",",,W","8.9",",,W","12.5",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-28","5.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19.4","H,,S","23.9",",,W","13.9",",,W","  250",",,W","  240",",,W","13.0",",,W","16.5",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-29","5.0",",,W",,,"14.7",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19.9","H,,S","27.8",",,W","12.8",",,W","  320",",,W","  330",",,W","12.5",",,W","17.0",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-30","2.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19.8","H,,S","23.9",",,W","12.2",",,W","  300",",,W","  290",",,W","6.3",",,W","8.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-08-31","2.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","16.4","H,,S","22.8",",,W","8.9",",,W","  100",",,W","  100",",,W","6.7",",,W","10.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-01","1.7",",,W",,,"3.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.0","H,,S","21.1",",,W","13.3",",,W","  120",",,W","  120",",,W","5.8",",,W","7.2",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-02","3.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","20.2","H,,S","27.2",",,W","15.6",",,W","  250",",,W","  260",",,W","8.9",",,W","11.6",",,W"
